CLASS|<$CLASS>
PGM5|<$PGMNAME>
{|<lb>
VAR|<$VAR>
X|<var>
=|<assignment>
INPUT|<INPUT>
;|<semi>
PRINT|<PRINT>
X|<var>
;|<semi>
VAR|<$VAR>
Y|<var>
=|<assignment>
INPUT|<INPUT>
;|<semi>
PRINT|<PRINT>
Y|<var>
;|<semi>
IF|<$IF>
(|<lp>
X|<var>
>|<relop>
Y|<var>
)|<rp>
THEN|<$THEN>
{|<lb>
X|<var>
=|<assignment>
X|<var>
+|<addop>
50|<$litInt>
;|<semi>
IF|<$IF>
(|<lp>
X|<var>
>|<relop>
11|<$litInt>
)|<rp>
THEN|<$THEN>
{|<lb>
X|<var>
=|<assignment>
X|<var>
+|<addop>
20|<$litInt>
;|<semi>
}|<rb>
}|<rb>
PRINT|<PRINT>
X|<var>
;|<semi>
}|<rb>
